,거래처코드,제품코드,수주량,수주단가,수주금액,수주일자,납기일자,제품명,수주월
1747,2003700,PEMA013010100,10000,1167,11670000,2020-02-26,2020-03-01,PEMA-HR1000,2020-02
1760,2001700,PEMA013010100,10000,2142,21420000,2020-12-01,2020-12-04,PEMA-HR1000,2020-12
1761,2006000,PEMA013041507,7000,1049,7343000,2020-01-01,2020-01-04,PEMA-HR1000,2020-01
1763,2005600,PEMA013041507,7000,1400,9800000,2020-01-19,2020-01-22,PEMA-HR1000,2020-01
1764,2007800,PEMA013041507,7000,1567,10969000,2020-01-25,2020-01-28,PEMA-HR1000,2020-01
1765,2004600,PEMA013041507,7000,1816,12712000,2020-02-02,2020-02-05,PEMA-HR1000,2020-02
1766,2007100,PEMA013041507,7000,1986,13902000,2020-02-07,2020-02-08,PEMA-HR1000,2020-02
1767,2002000,PEMA013041507,7000,2144,15008000,2020-02-09,2020-02-12,PEMA-HR1000,2020-02
1768,2004400,PEMA013041507,7000,2240,15680000,2020-02-13,2020-02-16,PEMA-HR1000,2020-02
1769,2006000,PEMA013041507,7000,1049,7343000,2020-02-22,2020-02-25,PEMA-HR1000,2020-02
1770,2007200,PEMA013041507,7000,1135,7945000,2020-02-25,2020-02-28,PEMA-HR1000,2020-02
1819,2002000,PEMA013041507,7000,2144,15008000,2020-12-02,2020-12-05,PEMA-HR1000,2020-12
1820,2004400,PEMA013041507,7000,2240,15680000,2020-12-06,2020-12-09,PEMA-HR1000,2020-12
1821,2002000,PEMA013041507,7000,2570,17990000,2020-12-18,2020-12-21,PEMA-HR1000,2020-12
1824,2002000,PEMA013041507,7000,2570,17990000,2020-12-28,2020-12-31,PEMA-HR1000,2020-12
1826,2006900,PEMA013041507,7000,2694,18858000,2020-12-31,2021-01-03,PEMA-HR1000,2020-12
1827,2006100,PEMA013099140,3000,1050,3150000,2020-01-01,2020-01-04,PEMA-HR1000,2020-01
1828,2006200,PEMA013099140,7000,1051,7357000,2020-01-02,2020-01-05,PEMA-HR1000,2020-01
